도매소매처코드,소매처코드
1241515,6028793
1124973,6022465
1446575,6022401
1300614,6022465
1844718,6022402
1262411,6022483
1269169,6065843
1565394,6000842
1208584,6022408
1406175,6065843
1406177,6065843
1138710,6025937
1294888,6022477
1134768,6003794
1209307,6022452
1240852,6022452
1240895,6022452
1677805,6022452
1234282,6022409
1234372,6022409
1719211,6022409
1456566,6022394
1456581,6022394
1187931,6152678
1380989,6022441
1147091,6022433
1263494,6022433
1295455,6022433
1236467,6003682
1287901,6003684
1198852,6022421
1567511,6022490
1135203,6022404
1255547,6022468
1599346,6022495
1551023,6022495
1348476,6022471
1239744,6022455
1239740,6022455
1605575,6152437
1503296,6000417
1164122,6022397
1164145,6022395
1762798,6022395
1124997,6022462
1125580,6003818
1212740,6003818
1128176,6022472
1125238,6022461
1209686,6022424
1519932,6022426
1127201,6022425
1209677,6022425
1307542,6022478
1672472,6035510
1865493,6144702
1866655,6022397
1867050,6022397
1386452,6022393
1178514,6022415
1502203,6022459
1110500,6022480
1360011,6049800
1188132,6022417
1879988,6035501
1209796,6022419
1213556,6022418
1429222,6022418
1567297,6022418
1574999,6022485
1182442,6013508
1591922,6022496
1192301,6022496
1822972,6022487
1455049,6196160
1386537,6132314
1982571,6022496
1260980,6003889
1184004,6014888
1189628,6014888
1437643,6000892
1812730,6034926
1116461,6022453
1308248,6022453
1459165,6022453
1558940,6022453
1633610,6022453
1909395,6012755
1635427,6022453
1663635,6041250
1848455,6022453
1540925,6047670
1139195,6003889
1991474,6014888
1991475,6014888
1991476,6014888
1993108,6014888
1393944,6022429
1393987,6022429
1352634,6000892
1353694,6000892
1511680,6000892
1611818,6000892
1353695,6000892
1361113,6014888
1393940,6022429
1239245,6001059
1248764,6001059
1250788,6001059
1963048,6001059
1361562,6001059
1361058,6001059
1361112,6001059
1500249,6001059
1688189,6001059
1688190,6001059
1720691,6001059
1736002,6001059
1803364,6001059
1386465,6001059
1387742,6001059
1386396,6014888
1521248,6040565
1991882,6014888
1991885,6014888
1241316,6001059
1248172,6001059
1275605,6001059
1687980,6001059
1141534,6003708
1237722,6022487
1841495,6154427
1734249,6000614
1141472,6016386
1572369,6003872
1664111,6020450
1195304,6016968
1137222,6000606
1164336,6003790
1258408,6003790
1168666,6000839
1274287,6001069
1104900,6022405
1121122,6025938
1149299,6028792
1347274,6025939
1525386,6028792
1986073,6027641
1357192,6022483
1722250,6022401
1684709,6022476
1840454,6022476
1849330,6022476
1116918,6022405
1137605,6022405
1178656,6022405
1619922,6022405
1539001,6003889
1735173,6000892
1393988,6022429
1298240,6001059
1538718,6001059
1539374,6014888
1539959,6014888
1542342,6014888
1606049,6014888
1991146,6014888
1312788,6014888
1394131,6022429
1534764,6014888
1745631,6000892
1745632,6000892
1745638,6000892
1994566,6014888
1204272,6001059
1524866,6001059
1989901,6001059
1706555,6022496
1890383,6022496
1740248,6164635
1705760,6034926
1548863,6022453
1599192,6000779
1733824,6022453
1810472,6022453
1825785,6022453
1854360,6022453
1895234,6022453
1207937,6047670
1226268,6047670
1395514,6047670
1355950,6022452
1356139,6022452
1356146,6013258
1356148,6025946
1356154,6022452
1356161,6025946
1356162,6022452
1356179,6025946
1619259,6022452
1619581,6025946
1537470,6022394
1866454,6047669
1867059,6047669
1867064,6047669
1867771,6047669
1870159,6016968
1916991,6047669
1866522,6047669
1866554,6047669
1866293,6047669
1866687,6047669
1300853,6049801
1485481,6038512
1682029,6038512
1839590,6049801
1164934,6000876
1164756,6022423
1534491,6014888
1821392,6014888
1298845,6014888
1372171,6022429
1380956,6014888
1394108,6022429
1991957,6014888
1991958,6014888
1991959,6014888
1277839,6003889
1841184,6022491
1728995,6022401
1534274,6038122
1927481,6022476
1927482,6022476
1538717,6001059
1548934,6001059
1842722,6022444
1372107,6022409
1652646,6022409
1740091,6022409
1376131,6022433
1636242,6163102
1386510,6154354
1177264,6000417
1123050,6033130
1124006,6033130
1124012,6033130
1146945,6033130
